2016-02-16 20:46:10:000,-0.9427,-0.2732,0.1820,0,0,23.1,9.92,0.0452,0.1045,0.0636,0
2016-02-16 20:46:20:000,-0.9266,-0.3346,0.1897,0,0,23.1,2.92,0.0078,0.0091,0.0095,0
2016-02-16 20:46:30:000,-0.9254,-0.3432,0.1748,0,0,23.1,3.31,0.0100,0.0240,0.0257,0
2016-02-16 20:46:40:000,-0.9212,-0.3691,0.1439,0,0,23.1,2.87,0.0082,0.0091,0.0104,0
2016-02-16 20:46:50:000,-0.9356,-0.2982,0.1832,0,0,23.1,5.96,0.0248,0.0732,0.0690,0
2016-02-16 20:47:00:000,-0.9769,-0.1560,-0.1188,0,0,23.1,6.07,0.0393,0.0320,0.0394,0
2016-02-16 20:47:10:000,-0.9764,-0.1550,-0.1194,0,0,23.1,2.94,0.0153,0.0358,0.0515,0
2016-02-16 20:47:20:000,-0.9198,-0.3022,-0.2453,0,0,23.1,4.08,0.0194,0.0349,0.0445,0
2016-02-16 20:47:30:000,-0.9581,-0.2521,-0.1279,0,0,23.1,4.68,0.0244,0.0423,0.0491,0
2016-02-16 20:47:40:000,-0.9559,-0.2595,-0.1459,0,0,23.0,2.41,0.0066,0.0094,0.0097,0
2016-02-16 20:47:50:000,-0.9571,-0.2554,-0.1446,0,0,23.0,2.34,0.0062,0.0089,0.0098,0
2016-02-16 20:48:00:000,-0.9644,-0.2406,-0.1009,0,0,23.0,3.18,0.0127,0.0224,0.0350,0
2016-02-16 20:48:10:000,-0.9773,-0.1017,0.1268,0,0,23.1,5.96,0.0170,0.0617,0.1135,0
2016-02-16 20:48:20:000,-0.9771,-0.0638,0.1931,0,0,23.1,5.39,0.0152,0.0126,0.0143,0
2016-02-16 20:48:30:000,-0.9765,-0.0418,0.2026,0,0,23.1,4.64,0.0124,0.0153,0.0151,0
2016-02-16 20:48:40:000,-0.9748,-0.0355,0.2127,0,0,23.0,4.75,0.0129,0.0130,0.0157,0
2016-02-16 20:48:50:000,-0.9706,-0.0342,0.2333,0,0,23.1,5.38,0.0191,0.0206,0.0362,0
2016-02-16 20:49:00:000,-0.9650,-0.0223,0.2649,0,0,23.0,3.19,0.0090,0.0110,0.0116,0
2016-02-16 20:49:10:000,-0.9606,-0.0663,0.2611,0,0,23.1,4.15,0.0191,0.0721,0.0399,0
2016-02-16 20:49:20:000,-0.9346,-0.1695,0.3216,0,0,23.0,3.87,0.0125,0.0145,0.0193,0
2016-02-16 20:49:30:000,-0.9286,-0.1798,0.3330,0,0,22.9,3.20,0.0080,0.0085,0.0090,0
2016-02-16 20:49:40:000,-0.9284,-0.1803,0.3338,0,0,23.1,3.09,0.0083,0.0085,0.0098,0
2016-02-16 20:49:50:000,-0.9311,-0.1832,0.3230,0,0,23.0,3.08,0.0081,0.0084,0.0095,0
2016-02-16 20:50:00:000,-0.7841,0.1080,-0.2985,0,0,23.0,20.76,0.2005,0.2644,0.4198,0
2016-02-16 20:50:10:000,-0.9630,-0.2365,0.1345,0,0,23.0,2.24,0.0074,0.0121,0.0185,0
2016-02-16 20:50:20:000,-0.9845,-0.1219,0.0979,0,0,23.0,5.82,0.0172,0.0465,0.0246,0
2016-02-16 20:50:30:000,-0.9884,-0.0859,0.1049,0,0,23.0,5.18,0.0138,0.0156,0.0146,0
2016-02-16 20:50:40:000,-0.9872,-0.0768,0.1153,0,0,23.1,5.72,0.0167,0.0167,0.0166,0
2016-02-16 20:50:50:000,-0.9869,-0.0732,0.1238,0,0,23.1,4.37,0.0138,0.0148,0.0189,0
2016-02-16 20:51:00:000,-0.9863,-0.0696,0.1306,0,0,23.0,5.26,0.0139,0.0131,0.0186,0
2016-02-16 20:51:10:000,-0.9843,-0.0742,0.1402,0,0,23.0,6.33,0.0193,0.0312,0.0218,0
2016-02-16 20:51:20:000,-0.9740,-0.1488,0.1598,0,0,23.0,3.31,0.0090,0.0124,0.0170,0
